uuid,date,isp,city,mbps
,2022-07-01,TOPNET,Nefta,16.37135021454166
,2022-02-09,Sky-Connect Internet cc,Roodepoort,6.182227493921145
,2023-07-21,Ghanaian Academic and Research Network,Accra,2.294962344010986
,2024-01-26,STE AFRICELL RDC SPRL,Kinshasa,15.560649429233974
,2024-07-18,TOPNET,Nefta,18.558655923796003
,2022-01-22,Vodacom,Pongola,3.134754276609333
,2022-05-15,Telecom Algeria,Tiaret,4.075796725986434
,2020-04-03,TOPNET,Menzel Heurr,2.554679267357133
,2020-05-04,,George,14.650968416378833
,2020-12-28,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,Zawyat Ifrane,25.80148938542328
,2022-12-29,Cell C (Pty) Ltd,Phoenix,2.2975460858255388
,2022-10-09,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,Kasba Tadla,22.49627405246649
,2021-08-11,South African Digital Villages (Pty) Ltd,Cape Town,15.32756433668263
,2020-09-18,Safaricom Limited,Meru,18.698927828793934
,2021-09-21,Airtel Madagascar,Ambodirano,6.125814572486529
,2021-03-28,Afrihost (Pty) Ltd,Heidelberg,4.040051036595047
,2022-08-06,,Sasolburg,153.66650739031667
,2024-01-09,Vodacom,Randburg,37.99254453295907
,2022-06-17,Telkom SA Ltd.,Bellville,9.250599551069024
,2020-10-23,SOCIETE REUNIONNAISE DU RADIOTELEPHONE SCS,La Possession,27.039863665486045
,2023-07-12,Mauritius Telecom Ltd,Vacoas,87.06684495489961
,2021-12-18,Liquid Telecommunications South Africa (Pty) Ltd,Phuthaditjhaba,3.5244399922682166
,2022-05-28,DJIBOUTI TELECOM S.A.,Balbala,0.2821230703021394
,2023-01-05,Orange Madagascar,Antananarivo,6.26879945045676
,2023-09-22,Optimum Telecom Algeria,Oran,15.914238181694689
,2020-07-14,Telecom Algeria,Ain Defla,0.1934688181677605
,2021-02-09,Eskom Holdings SOC Ltd,,42.49848207068148
,2020-03-07,MTN Network Solutions (Cameroon),Yaoundé,22.53401688828611
,2024-09-05,Vox Telecom Ltd,Springs,39.6227576729858
,2020-06-27,Wireless Associate Service Providers CC,Klerksdorp,4.828771061983374
,2022-05-13,BusyInternet Ghana Ltd,,6.011386557666105
,2023-01-17,Platinum Index Data Communications Ltd,Agango,3.4919132627045864
,2021-08-07,Go Communications Network (Pty) LTD,Johannesburg,4.560833556442125
,2024-02-06,Ethio Telecom,Nazret,6.115650701588034
,2024-07-28,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,Nador,21.550582428305336
,2022-12-13,Afrihost (Pty) Ltd,Potchefstroom,14.212747255952092
,2024-09-10,Telkom SA Ltd.,Phalaborwa,36.325618526341245
,2023-05-10,,East London,29.61529763328175
,2022-08-24,Accelerit Technologies PTY LTD,Vanderbijlpark,231.22550569676093
,2021-10-03,West Indian Ocean Cable Company,Nairobi,13.913311724133347
,2021-01-30,Vodacom,Bellville,24.6331763781148
,2023-08-25,Telecom Algeria,El Khroub,8.46833190199178
,2023-04-25,Sterling Bank Plc,,1.8547592537128763
,2022-08-10,TESUCO TELECOMMUNICATIONS (PTY) LTD,Benoni,16.963785703310776
,2021-01-21,Broadbased Communications Limited,Lagos,4.803330947757518
,2022-10-17,FIRSTNET TECHNOLOGY SERVICES (PTY) LTD,Cape Town,61.182350785091664
,2021-04-05,Metrofibre Networx,Sandton,15.387810127812967
,2021-01-23,Telecom Algeria,Azeba,4.880745253704525
,2022-10-17,Dimension Data (Pty) Ltd - Optinet,Warner Beach,26.23695318770033
,2022-10-01,Afrihost (Pty) Ltd,Kempton Park,44.44247238445912
,2022-05-11,CM Value Added Services (Pty) Ltd,Edenvale,16.075051678476083
,2024-03-07,Amobia Communications,Germiston,39.07199414655421
,2024-03-13,Forcepoint Cloud Ltd,Johannesburg,50.88051778725285
,2021-12-29,Ion Telecom and Technology,Benghazi,3.294032888633204
,2024-08-12,TE-AS,Bilbeis,7.728566279088633
,2024-01-18,Amobia Communications,Cape Town,97.78433082417445
,2022-04-24,SPECTRANET LIMITED,Somolu,0.0845721338191716
,2024-08-31,TE-AS,Al-'Ubūr,6.751402584571161
,2023-05-24,Bharti Airtel (Ghana) Limited,Accra,20.881661523022387
,2023-07-31,SONATEL-AS Autonomous System,,16.827116218435826
,2020-06-16,Wana Corporate,Kenitra,5.606910824898479
,2022-11-20,VOffice Solutions,Johannesburg,0.8415012758427017
,2023-01-12,Telkom SA Ltd.,Saldanha,49.6488242611491
,2020-07-11,Telecom Namibia,Tsumeb,0.8117002582866033
,2024-08-20,TOPNET,Melloulèche,7.720326039120072
,2024-06-11,RMS Powertronics CC,Johannesburg,11.692719911741792
,2024-07-08,The Egyptian Company for Mobile Services (Mobinil),Hurghada,0.8223194748358862
,2021-03-06,Telkom SA Ltd.,Bloemfontein,6.668003101741621
,2022-11-15,Bioniq (Pty) Ltd,Middelburg,10.56206790525557
,2023-01-10,Hormuud Telecom Somalia INC,Mogadishu,3.769230055754876
,2022-08-12,Telkom SA Ltd.,Pretoria,19.799578221035144
,2023-10-05,Cell C (Pty) Ltd,Centurion,14.956669139836205
,2023-03-20,Vodacom,Maclear,10.469660984884296
,2021-09-16,Orange S.A.,Sainte-Marie,27.10279786947462
,2020-03-04,X-DSL Networking Solutions,Midrand,6.298586350550842
,2023-06-19,Airtel Uganda Limited,Mbala,43.91163673971637
,2023-05-15,Telecom Algeria,Baraki,4.898477672759074
,2023-05-09,Telecom Algeria,Hadjout,18.178983151444314
,2021-06-15,MTN SA,Rabie Ridge,11.278605016455566
,2020-12-10,Macrolan (PTY) LTD,Stanford,4.577727563245142
,2021-05-15,,Orkney,4.813540585783051
,2023-11-04,Research and Education Network for Uganda,,3.669056164882853
,2020-05-18,Mauritius Telecom Ltd,Pamplemousses,7.897218909255113
,2020-04-20,Dimension Data (Pty) Ltd - Optinet,Danielskuil,3.652867475991721
,2024-03-03,Vodacom,Sandton,6.333919895443996
,2024-07-14,Screamer Telecommunications,Germiston,8.846223997361234
,2024-06-16,"University of Professional Studies, Accra (UPSA)",,4.219769355695018
,2020-09-05,,Craighall Park,4.902263281210932
,2023-02-24,Telkom SA Ltd.,eMkhomazi,4.360141810751939
,2023-05-03,MEDITELECOM,Al Fqih Ben Calah,20.179493718067896
,2023-08-06,Telecom Algeria,Ghardaïa,11.595343893102235
,2021-08-16,TOPNET,Ksar Hellal,4.879816540160932
,2020-02-28,Intelvision Ltd,Victoria,2.1115656762091146
,2020-05-21,MEDITELECOM,Tétouan,2.595224693607453
,2021-07-18,Telkom SA Ltd.,Christiana,15.124100566432858
,2023-03-14,The Computer Hut cc,Wellington,6.657409914509787
,2023-02-17,Telecom Algeria,Collo,11.240769002649143
,2023-11-15,Frampol Investments,Harare,9.49183107950465
,2020-02-05,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,Azamor,27.5496135978785
,2023-12-23,MTN SA,Louis Trichardt,61.23540526860987
,2023-11-18,Orange Tunisie,,10.407729113984082
,2022-03-07,Telkom SA Ltd.,New Germany,18.427745183937663
,2021-05-29,Dimension Data (Pty) Ltd - Optinet,Mookgophong,2.8884146630625502
,2022-11-07,Green Flash Trading,Hartbeespoort,1.177335070040449
,2023-06-20,,Bothaville,49.31739879263513
,2023-02-04,Scancom Ltd.,Kumasi,2.441321021077283
,2020-06-20,Kenyan Post & Telecommunications Company / Telkom Kenya Ltd,,3.415448266251109
,2023-09-16,Vodacom,Somerset West,9.248941782776944
,2021-02-18,TE-AS,Port Said,7.22638983660233
,2022-08-26,Liquid Telecommunications Ltd,Mombasa,6.921640621923363
,2020-03-08,Smile Communications Ltd,Kampala,1.580123567705008
,2024-01-15,Vox Telecom Ltd,Menlyn Park,1.272856229986125
,2023-10-21,Internet Technologies Namibia,Jamestown,3.845070731416211
,2024-09-04,,Hermanus,2.624494682160288
,2023-01-17,Cell C (Pty) Ltd,Boksburg,46.0545532821755
,2023-06-10,Vodacom,Germiston,28.788706458553065
,2020-06-25,STAR SATELLITE COMMUNICATIONS COMPANY PJSC,Matatiele,0.9887581095375638
,2020-11-24,Tunisia BackBone AS,Sousse,4.747709499588456
,2020-05-24,Telecom Algeria,Tiaret,1.902782478980262
,2023-08-24,Telecom Algeria,Ain Defla,5.852589743063749
,2021-03-15,Telkom SA Ltd.,Hartbeespoort,30.867051558936915
,2021-01-28,Vox Telecom Ltd,Worcester,1.035899897532384
,2022-09-13,Frogfoot Networks,,34.90964068322403
,2020-10-03,Telecom Algeria,Blida,3.650431856188656
,2020-04-25,Telecom Algeria,Ain Defla,1.1185330484868032
,2024-07-10,Icosnet SPA,,10.672061812073808
,2020-12-07,Canal + Telecom SAS,Saint-Gilles les Bains,0.9962461864281582
,2021-02-18,CAMTEL,,1.787893071083189
,2021-09-08,Liquid Telecommunications Ltd,Nungwi,31.797842562541767
,2024-04-02,LIPTINFOR NIGER SA,,0.822310611190627
,2023-08-20,University of Energy and Natural Resources,Sunyani,15.004881255717216
,2023-10-07,MTN SA,Wynberg,13.74116602130541
,2024-01-09,Mitsol (Pty) Ltd,eManzimtoti,41.18733477351224
,2021-04-14,,Grahamstown,2.269806529358103
,2020-09-22,BITFLUX COMMUNICATIONS LIMITED,Lagos,2.5770270989985
,2023-09-30,Sky-Connect Internet cc,Vereeniging,5.538303864665632
,2024-04-16,Telkom SA Ltd.,Kempton Park,27.104012755256083
,2021-04-21,Municipal Network Services,Piketberg,3.8253231391057945
,2020-11-26,BACKBONE CONNECTIVITY NETWORK (NIGERIA) LIMITED,Suleja,1.7569353165012866
,2020-12-03,Telecom Algeria,Jijelli,1.6481861464071337
,2022-12-20,Amobia Communications,Johannesburg,1.370506750832895
,2020-11-30,Safaricom Limited,Kathwana,18.930952937990156
,2021-01-08,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,Larache,2.7642413784207327
,2021-03-18,Cobranet Limited,Lagos,8.193539206306374
,2021-01-18,Skyfi Internet solutions (PTY) Ltd,Cape Town,74.63773714759743
,2023-02-11,University of Dar es Salaam,Dar es Salaam,15.00179313145295
,2023-04-23,Clear Access (Pty) Ltd,Nelspruit,17.107240545570733
,2022-06-18,Orange Tunisie,Beja,5.059994777688326
,2020-11-22,Rain Networks (Pty) Ltd,Roodepoort,0.8814361672655485
,2021-11-11,TOPNET,La Marsa,4.98291919642053
,2023-12-01,Wana Corporate,Mohammedia,11.231423624966029
,2021-04-15,MEDITELECOM,Mohammedia,6.2175228458185465
,2023-08-04,TOPNET,La Mornaghia,0.4829976434471127
,2021-08-19,VOffice Solutions,Vredenburg,17.02939130652178
,2021-03-08,Iclix (PTY) Ltd,Bloemfontein,15.830659259574787
,2024-02-15,North West University,Rustenburg,56.054214420863026
,2022-01-24,Neology (Pty) Ltd,Witbank,9.541525650507658
,2021-08-13,TE-AS,Baltim,22.24115224135604
,2020-12-23,ITEC Communications Pty Ltd,Witbank,13.8679164112247
,2022-01-13,Mauritius Internet Exchange Point,,20.127896241042592
,2023-01-20,DIRECTEL COMMUNICATIONS (PTY) LTD,Benoni,36.64091478307648
,2021-12-04,"TogoTelecom, Togo",Lomé,9.474792859643957
,2023-06-16,BETHNET cc,Port Alfred,4.410953123328136
